"","chla","temp","bar","nas","przew","ph","namon","ITS"
"1",1.1,12,10,80.78,176,7.4,0.1,7.64986
"2",2.5,15.2,20,89.68,157,7.6,0.1,7.73416
"3",8.6,19,5,87.5,207,8,0.05,8.1625
"4",2.3,19.5,10,83.5,189,7.67,0.05,7.8845
"5",7.5,12,0,108.3,122,8.2,0.004,8.0921
"6",10.3,21.5,5,94.16,202,8.1,0.14,8.17592
"7",3.7,12.5,20,83.57,181,7.6,0.1,7.81359
"8",8.6,15.6,10,87.45,155,7.8,0.1,7.96315
"9",39.2,15.2,20,107.61,206,8.1,0.2,8.00107
"10",19,19,40,100.32,191,8,0,7.99584
"11",8.2,16.9,20,94.01,164,7.7,0.22,7.77787
"12",15.8,15,20,102.18,198,8,0.24,7.97166
"13",19,21,40,107.86,178,8.6,0.1,8.49782
"14",60.9,17.2,30,113.31,182,8.6,0.2,8.42697
"15",23.3,12,10,87.28,231,7.9,0.1,8.06536
"16",19.6,11,20,106.27,207,8.6,0.12,8.51849
"17",2.8,14.8,20,101.74,201,8.1,0.2,8.07738
"18",8,19.5,30,102.45,191,8.8,0,8.76815
"19",47.7,17.8,20,107.37,190,8.5,0.22,8.40419
"20",24.8,12.2,10,93.27,238,8,0.1,8.08749
"21",21.8,10,20,102.13,208,8.6,0.12,8.57231
"22",7.8,14.2,20,100.43,203,8,0.16,7.99441
"23",28.6,20,40,98.02,185,8.8,0,8.82574
"24",64,17.6,20,114.26,192,8.7,0.24,8.51462
"25",72.5,13.6,10,118.8,221,8.77,0.007,8.5256
"26",31.4,8,5,88.91,209,8.3,0.05,8.44417
"27",57.1,22.5,5,114.45,222,8.9,0.16,8.71215
"28",16.8,12,10,89.14,231,7.8,0.14,7.94118
"29",27.1,10,20,101.24,210,8.7,0.14,8.68388
"30",7.5,14.6,20,98.35,204,7.8,0.2,7.82145
"31",97,17,20,113.87,190,8.7,0.2,8.51969
"32",1.25,18,20,95.1,403,8.29,0.189,8.3537
"33",4.3,19,10,42.07,209,7.2,0.2,7.95309
"34",21,16.9,25,116.74,160,8.7,0.1,8.48238
"35",21.1,16.5,25,113.73,157,8.6,0.1,8.42151
"36",12.3,13,20,86.42,186,7.8,0.1,7.97654
"37",16.8,16.6,25,102.67,158,8.2,0.1,8.16529
"38",1.6,12,20,81.71,186,7.8,0.1,8.03777
"39",11.5,16,25,99.39,160,8.1,0.1,8.10793
"40",3.84,18.8,30,75.9,314,8.3,0.16,8.6133
"41",3.84,15.1,35,89.6,317,8.1,0.11,8.2352
"42",10.7,13,20,87.37,211,7.6,0.1,7.76419
"43",53.2,17,20,103.52,183,8.7,0.1,8.65424
"44",29,18,5,103.59,233,8.4,0.1,8.35333
"45",26.7,20,20,125.55,176,9.2,0.1,8.86785
"46",14.1,11.5,5,112.03,168,8.9,0.016,8.74361
"47",19.4,18.2,5,92.34,237,8.3,0.1,8.39958
"48",20,19,10,119.74,176,9.2,0.1,8.94338
"49",28.2,18.2,5,96.58,236,8.4,0.1,8.44446
"50",22.5,19,10,127.29,175,9.3,0.1,8.94523
"51",23.5,20,10,131.06,175,9.3,0.1,8.89622
